"","sp6","freq"
"1","acacme",3
"2","alchco",1
"3","alchla",12
"4","alsebl",585
"5","amaico",24
"6","anacex",9
"7","andiin",11
"8","annoha",2
"9","annosp",28
"10","apeime",130
"11","appuse",1
"12","ardife",40
"13","aspicr",127
"14","ast1st",62
"15","ast2gr",35
"16","auloze",121
"17","bactba",17
"18","bactc1",7
"19","bactc2",9
"20","bactma",2
"21","beilpe",63
"22","boropa",32
"23","brosal",33
"24","brosgu",70
"25","buchca",8
"26","byrssp",1
"27","calolo",173
"28","case6",5
"29","casear",23
"30","caseco",18
"31","casegu",5
"32","casesy",18
"33","cassel",25
"34","cecrin",31
"35","cecrob",5
"36","cecrpe",3
"37","ceibpe",7
"38","celtsc",48
"39","cespma",5
"40","chr1ec",8
"41","chr2ar",17
"42","clidde",1
"43","coccma",16
"44","coccpa",144
"45","copaar",69
"46","cordal",3
"47","cordbi",164
"48","cordla",20
"49","corotu",1
"50","cou2cu",76
"51","courpa",63
"52","couthe",4
"53","crospa",6
"54","crotbi",42
"55","crotdr",1
"56","crotsc",2
"57","cuparu",14
"58","cupasc",43
"59","cupasy",5
"60","cynoba",1
"61","cyphha",5
"62","dendar",1
"63","des2pa",108
"64","dialgu",773
"65","dio2ar",45
"66","diptpa",123
"67","dryp1",4
"68","drypst",324
"69","elaeol",7
"70","entesc",37
"71","ery2ma",13
"72","ery2pa",2
"73","esenpa",9
"74","euge24",1
"75","euge26",2
"76","eugeco",39
"77","eugega",1
"78","eugene",10
"79","faralu",183
"80","faraoc",78
"81","ficubu",3
"82","ficuma",6
"83","ficuto",3
"84","gar2in",125
"85","gar2ma",109
"86","geniam",3
"87","geonco",10
"88","geonin",1
"89","guargl",3
"90","guargr",16
"91","guargu",2
"92","guarsp",18
"93","guatdu",39
"94","guazul",1
"95","guetfo",10
"96","gustfo",10
"97","gustsu",29
"98","heisac",99
"99","heisco",1224
"100","herrny",2
"101","herrpu",7
"102","hirtam",38
"103","hirtra",321
"104","hirttr",156
"105","humidi",2
"106","hybapr",70
"107","hyeral",24
"108","ingaco",55
"109","ingafa",8
"110","ingago",1
"111","ingam2",61
"112","ingapa",1
"113","ingape",2
"114","ingaqu",9
"115","ingasa",4
"116","ingaum",48
"117","ingave",3
"118","ixorfl",3
"119","jac1co",182
"120","laciag",51
"121","lacmpa",34
"122","laetpr",92
"123","laetth",60
"124","lafopu",6
"125","licahy",154
"126","licapl",12
"127","lindla",26
"128","loncla",52
"129","luehse",6
"130","mabeoc",317
"131","malmsp",70
"132","malogu",75
"133","maquco",33
"134","mataap",28
"135","maytsc",8
"136","micoaf",26
"137","micoar",65
"138","micoel",1
"139","micone",3
"140","micopo",57
"141","micopr",1
"142","micose",3
"143","micosi",1
"144","micrze",1
"145","mosqja",1
"146","mourmy",89
"147","myr2fl",13
"148","myrc3",21
"149","myrcfa",1
"150","myrcga",14
"151","myrcze",1
"152","myrofr",3
"153","nect3",6
"154","nectci",9
"155","nectgl",2
"156","nectpu",66
"157","nects3",1
"158","neea1",1
"159","neeaam",6
"160","ochrpy",7
"161","ocotce",9
"162","ocotob",16
"163","ocotpu",1
"164","oenoma",786
"165","ormocr",13
"166","ouralu",50
"167","oxanpa",175
"168","paligu",14
"169","pentma",12
"170","perexa",102
"171","phoeci",27
"172","picrla",13
"173","pipea1",1
"174","pipeae",2
"175","pipeco",5
"176","pipecu",3
"177","pipegr",1
"178","pit1ba",34
"179","pit1ru",2
"180","pla1pi",2
"181","pochse",70
"182","poular",27
"183","pourbi",152
"184","poutre",146
"185","poutst",9
"186","pri2co",373
"187","protco",5
"188","protpa",286
"189","protsp",97
"190","protte",78
"191","prottr",60
"192","pse1se",5
"193","pse2sp",402
"194","psycb2",1
"195","psycc1",1
"196","psycch",3
"197","psycg3",1
"198","psycli",1
"199","psycma",3
"200","pterro",19
"201","quaras",3
"202","quasam",43
"203","quiisc",24
"204","randar",8
"205","rino2",3
"206","rino3",8
"207","rinocr",25
"208","rinosq",46
"209","rinosy",62
"210","sapiau",1
"211","sapisp",9
"212","sch1zo",2
"213","sch2mo",24
"214","simaam",295
"215","sipapa",4
"216","sloate",18
"217","sloazu",168
"218","socrex",115
"219","solaas",3
"220","solaha",13
"221","soroaf",206
"222","sponmo",5
"223","sponra",7
"224","sterre",73
"225","stylst",2
"226","swarpa",109
"227","swars1",22
"228","swars2",194
"229","sympgl",24
"230","synewa",3
"231","tab1gu",114
"232","tab1ro",3
"233","tab2ar",32
"234","tachve",64
"235","taline",220
"236","talipr",1
"237","termam",45
"238","ternte",2
"239","tet2pa",1308
"240","tocopi",24
"241","tovolo",3
"242","tovopi",1
"243","tovost",60
"244","tratas",84
"245","tremmi",1
"246","tri2tu",133
"247","tri4ga",31
"248","turpoc",5
"249","uniden",9
"250","urerba",1
"251","vantde",5
"252","vataer",161
"253","vernpa",1
"254","viroel",34
"255","virose",271
"256","virosp",67
"257","virosu",63
"258","vismba",11
"259","vismbi",4
"260","vismma",3
"261","vochfe",26
"262","xyl1ma",385
"263","zantbe",61
"264","zantp1",4
"265","zantpr",6
"266","zuelgu",19
